country_name,country_code,year,agriculture_forestry_and_fishing_value_added_percent_of_gdp,adjusted_savings_natural_resources_depletion_percent_of_gni,access_to_electricity_percent_of_population,adjusted_savings_energy_depletion_percent_of_gni,adjusted_savings_carbon_dioxide_damage_percent_of_gni,access_to_clean_fuels_and_technologies_for_cooking_percent_of_population,agriculture_forestry_and_fishing_value_added_annual_percent_growth
Armenia,ARM,2008,17,0.20152935129886,99.2,0,1.23615941244643,94.9,3.00000001153913
Armenia,ARM,2009,19,0.347525102208512,99.3,0,1.38291022404913,95.6,5.92255381679058
Armenia,ARM,2010,16.9,1.58088088258868,99.8,0,1.27621271967291,96.1,-15.90577663
Armenia,ARM,2011,22,1.91609483976115,99.5,0,1.40306264921847,96.6,14.0000000035935
Armenia,ARM,2012,17.9126819526397,0.975899939721712,99.5,0,1.60944519581244,96.8,9.50000000852515
Armenia,ARM,2013,18.4347628834968,0.695341106218562,99.4,0,1.50617951643364,97.1,7.60000000000001
Armenia,ARM,2014,18.0720363470662,0.26569616776989,99.7,0,1.52093530561579,97.3,6.10000000608035
Armenia,ARM,2015,17.2231200318056,0.513002231156997,100,0,1.69086839286556,97.5,13.1999999973409
Armenia,ARM,2016,16.39047353,0.216780401516851,99.8,0,1.68722361918755,97.6,-4.999999999
Armenia,ARM,2017,14.9942601242776,0.237460142323514,99.7,4.09358326137727e-09,1.68381423562639,97.7,-5.100000003
Armenia,ARM,2018,13.9423116554146,0.681367168443602,99.9,6.9336091218544606e-09,1.76730643047416,97.8,-6.900000005
Armenia,ARM,2019,11.5256107379588,1.19439913303945,100,4.65711934681501e-09,1.82336418768696,97.9,-5.8
Armenia,ARM,2020,11.3498051554549,1.11623285694115,100,4.3661940875878206e-09,1.90503243130788,97.9,-3.699999994
Austria,AUT,2008,1.38504114785417,0.175748515092689,100,0.113084758281736,0.43571870188328,100,7.47172069844963
Austria,AUT,2009,1.17655306368833,0.118771524132107,100,0.0776229563214441,0.443024369869997,100,-7.028675289
Austria,AUT,2010,1.29288595990855,0.134346763625082,100,0.0812464922746426,0.505448396586171,100,-6.005558512
Austria,AUT,2011,1.46130648071081,0.156884420705329,100,0.102713353962844,0.470143738047691,100,15.3489158550082
Austria,AUT,2012,1.41768134316306,0.168682443235827,100,0.121362430517088,0.493630014642571,100,-6.591107701
Austria,AUT,2013,1.27784992108872,0.149227841292337,100,0.102807587041594,0.492729210437232,100,-6.897684877
Austria,AUT,2014,1.27555801772568,0.135585373616233,100,0.0920033862680556,0.471439612378293,100,7.99056694430809
Austria,AUT,2015,1.14362854172989,0.0923158273899009,100,0.0499583558453872,0.581431471832498,100,-4.210175688
Austria,AUT,2016,1.14928264077268,0.0677950635081036,100,0.0308944650482151,0.577767642266926,100,5.21989920392039
Austria,AUT,2017,1.19990203076681,0.0776420103252036,100,0.041704775264542,0.596177045272606,100,-1.038179859
Austria,AUT,2018,1.10911414021412,0.100695375466333,100,0.0556757566159948,0.548372051254847,100,2.84827096647255
Austria,AUT,2019,1.04463413653499,0.0769953294396026,100,0.0436795105299308,0.595751007127447,100,-1.447737547
Austria,AUT,2020,1.07138113272871,0.0420824027177127,100,0.0193128338329958,0.570601334873526,100,-3.068943221
Belarus,BLR,2008,8.66625369440669,0.953222849348561,93.2,0.953222849348561,2.70858823875374,98.1,8.60654614120359
Belarus,BLR,2009,8.13089893610657,0.582971057081757,93.8,0.582971057081757,3.18575449847899,98.5,0.283387303321007
Belarus,BLR,2010,8.89193022882009,0.616456716938427,94.4,0.616456716938427,3.14380807542919,98.7,2.3101624644041
Belarus,BLR,2011,8.00188774430829,0.923988873565311,95,0.923988873565311,2.85950494043189,99,7.39158389874972
Belarus,BLR,2012,8.13094268308472,0.833241769452533,95.6,0.833241769452533,2.90017289996995,99.2,6.07929793050172
Belarus,BLR,2013,6.80909244753712,0.674665253485934,96.2,0.674665253485934,2.66096742659149,99.3,-3.596572006
Belarus,BLR,2014,7.30305697730942,0.582752214875627,96.8,0.582752214875627,2.62056762145828,99.4,2.51130472294801
Belarus,BLR,2015,6.2832075832437,0.360540198229026,97.4,0.360540198229026,3.52603147270319,99.5,-2.413696419
Belarus,BLR,2016,6.89528062433517,0.31270290026627,98,0.31270290026627,4.35465871968589,99.5,3.93699142042712
Belarus,BLR,2017,7.56580253848292,0.402399785871238,98.7,0.402399785871238,3.97891433347243,99.6,4.39954429701115
Belarus,BLR,2018,6.59010772590188,0.658180369708939,99.3,0.658180369708939,3.98985826757181,99.7,-3.44545367
Belarus,BLR,2019,6.79466882799274,0.515174521131171,100,0.515174521131171,3.76037952551413,99.7,2.92271430343629
Belarus,BLR,2020,7.07723976895662,0.292100099087634,100,0.292100099087634,4.0627724042275,99.7,4.75375455005693
Belgium,BEL,2008,0.712338067185966,0.0179266058840974,100,0,0.541555160545305,100,0.609864831128078
Belgium,BEL,2009,0.718679660856589,0.0170006778971711,100,0,0.559204632448288,100,4.90251683800071
Belgium,BEL,2010,0.847918635049212,0.0398098652431534,100,0.0208156073120214,0.623937705455658,100,8.50538978812556
Belgium,BEL,2011,0.726239843441003,0.0528989513216863,100,0.0353801645468316,0.549031035235705,100,0.516972905636877
Belgium,BEL,2012,0.84457469539348,0.0490222452712663,100,0.0340877229603489,0.583069069412876,100,1.95811129012269
Belgium,BEL,2013,0.764565477908541,0.0446456773684696,100,0.0305097718461498,0.583996286011436,100,-8.581499939
Belgium,BEL,2014,0.716518219283319,0.0500772787085524,100,0.0371836239263636,0.55524112709379,100,7.58542746975137
Belgium,BEL,2015,0.750617272066574,0.0232551807362152,100,0.0122176335911277,0.705499599794752,100,15.0775505159735
Belgium,BEL,2016,0.673190543684684,0.0196059927277674,100,0.0089238621835328,0.703991276528088,100,-7.359179509
Belgium,BEL,2017,0.729532583142538,0.0253236544948642,100,0.0158735180931264,0.683778612411988,100,4.85436893203884
Belgium,BEL,2018,0.664625571120094,0.0333638162585183,100,0.0227467682979001,0.66948185740955,100,-9.126589276
Belgium,BEL,2019,0.718789583537128,0.0292646260442942,100,0.0209474232743029,0.701062091308238,100,4.53190583368819
Belgium,BEL,2020,0.712818023641571,0.0188316271658004,100,0.0112790265270654,0.684119807553361,100,-3.814594972
Brazil,BRA,2008,4.56785118025741,2.72865780257471,98.5,1.81401598096052,0.606161791975952,93.1,5.7709671427171
Brazil,BRA,2009,4.47677399209847,1.19807347999816,98.9,1.01382622138073,0.592964984584915,93.4,-3.728679826
Brazil,BRA,2010,4.11575648779356,1.67814111648887,98.6,1.12294789741317,0.531249746359845,93.9,6.69694248560597
Brazil,BRA,2011,4.34203412783304,2.1752439770507,99.3,1.52482093441453,0.489511339380015,94.3,5.63864636220394
Brazil,BRA,2012,4.16832822439069,1.96147705453274,99.5,1.51443970543702,0.587138933227261,94.7,-3.082242204
Brazil,BRA,2013,4.50688618256533,1.78797181123262,99.6,1.33361465390865,0.645381746586543,95.1,8.36144396056827
Brazil,BRA,2014,4.32561053879483,1.74979758692364,99.7,1.39876331607307,0.714730472224302,95.4,2.7907944733148
Brazil,BRA,2015,4.31914942964047,1.11264455896167,99.7,0.857685698468755,0.954397922356233,95.7,3.31433139702611
Brazil,BRA,2016,4.89135358790863,1.02883412080618,99.7,0.686699294180488,0.913478820468819,95.8,-5.224217737
Brazil,BRA,2017,4.60059169568986,1.24905409177789,99.8,0.934976537711634,0.843511847022153,96.1,14.1523862622383
Brazil,BRA,2018,4.4203993038464,1.89875463067738,99.7,1.5802963493344,0.912362329794403,96.2,1.30705577691208
Brazil,BRA,2019,4.20501409463474,1.75977305025389,99.8,1.44608781006584,0.971501340924402,96.4,0.415036913107755
Brazil,BRA,2020,5.71148511499007,1.31416348966725,99.7,0.949585951805012,1.24675571255478,96.4,4.17457858752937
Canada,CAN,2008,1.76827354801333,2.17781891455316,100,1.81609755832594,0.965470314423528,100,7.20532581439761
Canada,CAN,2009,1.5498932753953,0.512977214258532,100,0.356614049824675,1.0657298589171,100,-5.08036133
Canada,CAN,2010,1.49323608111661,0.559054627602334,100,0.273815795655638,0.968020508539822,100,1.3019929942822
Canada,CAN,2011,1.76566446625627,0.732313480330011,100,0.350184576796635,0.931222764948246,100,4.09003112477451
Canada,CAN,2012,1.81134574390941,0.450995464605676,100,0.198904269926446,0.944962644665115,100,1.30166333726547
Canada,CAN,2013,1.89423151227836,0.447518570432087,100,0.266699410443188,0.98774863036521,100,17.0854728770508
